#DeCS_code	Term_Spanish	Term_English	MeSH_code	Synonyms
4932	compuestos epoxi	Epoxy Compounds	D004852	epóxidos
4933	resinas epoxi	Epoxy Resins	D004853	-
4935	equilenina	Equilenin	D004855	-
4936	equilibrio postural	Postural Balance	D004856	Balance Postural
4937	equilina	Equilin	D004857	-
4943	equipos y suministros	Equipment and Supplies	D004864	Equipamientos|Inventarios|aparatos e instrumentos|dispositivo|dispositivo médico|dispositivos|dispositivos médicos|equipo|equipo de tecnología|equipo tecnológico|equipos|equipos de tecnología|equipos de tecnología y software|equipos tecnológicos|producto sanitario|productos|productos sanitarios|suministros
4944	equipos y suministros hospitalarios	Equipment and Supplies, Hospital	D004865	Equipo y Suministro de Hospitales|equipos y suministros de hospitales
4946	diseño de equipos	Equipment Design	D004867	diseño de dispositivos|diseño de dispositivos médicos|Diseño de Equipo
4947	fallo de equipos	Equipment Failure	D004868	Falla de Dispositivos|Falla de Equipos Médicos|Mal Uso de Equipo|Malfuncionamiento de Equipo|defectos de equipos|defectos de equipos médicos|fallo de dispositivos|mal funcionamiento de equipos|mal uso de equipos médicos|Falla de Equipo
4948	seguridad de equipos	Equipment Safety	D004869	Seguridad de Dispositivo|riesgos de equipos|seguridad de dispositivos|seguridad de dispositivos médicos
4949	erabutoxinas	Erabutoxins	D004870	-
4950	erbio	Erbium	D004871	-
4956	ergolinas	Ergolines	D004873	ergolina
4957	ergonovina	Ergonovine	D004874	Ergonovina Maleato|ergometrina|maleato de ergonovina
4958	ergosterol	Ergosterol	D004875	-
4959	alcaloides de Claviceps	Ergot Alkaloids	D004876	Alcaloides de Claviceps purpurea|Alcaloides de Cornezuelo de Centeno|Alcaloides del Cornezuelo|Alcaloides del Ergot|Alcaloides del Hongo del Centeno|alcaloides de ergot|alcaloides del cornezuelo del centeno
4961	ergotamina	Ergotamine	D004878	tartrato de ergotamina
4962	ergotaminas	Ergotamines	D004879	-
4963	ergotioneína	Ergothioneine	D004880	tioneína
4968	literatura erótica	Erotica	D004882	erotismo|pornografía
4970	eructación	Eructation	D004884	eructo
4971	Erwinia	Erwinia	D004885	-
4972	erisipela	Erysipelas	D004886	-
4973	erisipeloide	Erysipeloid	D004887	-
4974	Erysipelothrix	Erysipelothrix	D004888	Erysipelothrix rhusiopathiae
4975	infecciones por Erysipelothrix	Erysipelothrix Infections	D004889	-
4977	eritema	Erythema	D004890	-
4980	eritema nudoso	Erythema Nodosum	D004893	eritema nodoso
4981	eritrasma	Erythrasma	D004894	-
4982	Erythrina	Erythrina	D004895	-
4983	eritritol	Erythritol	D004896	-
4984	tetranitrato de eritritilo	Erythrityl Tetranitrate	D004897	-
4985	eritroblastosis fetal	Erythroblastosis, Fetal	D004899	enfermedad hemolítica del recién nacido
4988	Erythrocebus patas	Erythrocebus patas	D004901	Monos Patas|mono patas|mono rojo
4990	agregación eritrocítica	Erythrocyte Aggregation	D004903	Agregación Eritrocítica|agregación eritrocitaria|agregación eritrocítica intravascular
4992	envejecimiento de los eritrocitos	Erythrocyte Aging	D004905	envejecimiento eritrocítico|supervivencia eritrocítica
4993	recuento de eritrocitos	Erythrocyte Count	D004906	Número de Eritrocito|número de eritrocitos|recuento de células rojas|recuento de glóbulos rojos
4994	deformabilidad de los eritrocitos	Erythrocyte Deformability	D004907	Deformabilidad de los Eritrocitos|Filtrabilidad Eritrocítica|deformabilidad del eritrocito|deformabilidad eritrocitaria|filtrabilidad de los eritrocitos|Deformación Eritrocítica
4995	inclusiones eritrocíticas	Erythrocyte Inclusions	D004908	cuerpos de Howell-Jolly
4996	índices eritrocíticos	Erythrocyte Indices	D004909	Concentración de Hemoglobina Corpuscular Media|Hemoglobina Eritrocitária Media|Volumen Celular Medio|Volumen Eritrocitario Medio|Índices de Glóbulos Rojos|determinación del tamaño del eritrocito|determinación del tamaño eritrocitario|hemoglobina corpuscular media|hemoglobina eritrocitaria celular media|volumen corpuscular medio|volumen eritrocitario celular medio|índices de los glóbulos rojos|índices eritrocitarios|Índices de Eritrocitos
4997	membrana eritrocítica	Erythrocyte Membrane	D004910	eritrocito fantasma|fantasma de la célula roja
4998	volumen eritrocitario	Erythrocyte Volume	D004911	Masa de Células Rojas|masa celular roja|volumen eritrocítico|Volumen de Eritrocitos
4999	eritrocitos	Erythrocytes	D004912	corpúsculos rojos de la sangre|corpúsculos rojos sanguíneos|corpúsculos sanguíneos rojos|células rojas|células rojas de la sangre|células sanguíneas rojas|glóbulos rojos|hematíes
5000	eritrocitos anormales	Erythrocytes, Abnormal	D004913	-
5005	eritromelalgia	Erythromelalgia	D004916	eritermalgia
5008	eritroplasia	Erythroplasia	D004919	eritroplasia de Queyrat
5009	eritropoyesis	Erythropoiesis	D004920	-
5012	eritrosina	Erythrosine	D004923	FD & C Rojo No. 3|FD & C rojo n. 3
5014	reacción de huida	Escape Reaction	D004924	Reacción de Huída|Reacción de Lucha o Huída|reacción de escapatoria|Reacción de Fuga
5015	Escherichia	Escherichia	D004925	-
5016	Escherichia coli	Escherichia coli	D004926	E coli Enteroagregativa|E. coli Enteroagregativa|ECEAgg (Escherichia coli Enteroagregativa)|E coli|E coli de adhesión difusa|E. coli|E. coli de adhesión difusa|E.coli|EAggEC|ECAD (E coli adherencia difusa)|ECAD (E coli con adherencia difusa)|ECAD (E coli de adherencia difusa)|ECAD (E. coli adherencia difusa)|ECAD (E. coli con adherencia difusa)|ECAD (E. coli de adherencia difusa)|ECAD (Escherichia coli adherencia difusa)|ECAD (Escherichia coli con adherencia difusa)|ECAD (Escherichia coli de adherencia difusa)|ECEA (E coli enteroadherente)|ECEA (E. coli enteroadherente)|ECEA (Escherichia coli enteroadherente)|ECEAgg|ECEI (E coli enteroinvasiva)|ECEI (E. coli enteroinvasiva)|ECEI (Escherichia coli enteroinvasiva)|Escherichia coli de adherencia difusa|Escherichia coli de adhesión difusa|Escherichia coli difusamente adherente|Escherichia coli difusamente adherida|Escherichia coli enteroagregativa|grupo Alkalescens-Dispar|grupo de alcalescencia dispar
5017	infecciones por Escherichia coli	Escherichia coli Infections	D004927	infección por E. coli
5018	escina	Escin	D004928	-
5023	atresia esofágica	Esophageal Atresia	D004933	-
5024	quiste esofágico	Esophageal Cyst	D004934	quiste del esófago
5025	enfermedades del esófago	Esophageal Diseases	D004935	Enfermedades Esofáticas|enfermedades esofágicas|esofagopatías
5029	perforación del esófago	Esophageal Perforation	D004939	perforación esofágica
5030	estenosis esofágica	Esophageal Stenosis	D004940	estrangulación esofágica|estrechamiento esofágico
5031	esofagitis	Esophagitis	D004941	-
5033	unión esofagogástrica	Esophagogastric Junction	D004943	Unión Esófago-Gástrica|unión-esófago-gástrica
5035	esofagoplastia	Esophagoplasty	D004944	-
5036	esófago	Esophagus	D004947	-
5038	estazolam	Estazolam	D004949	D-40TA
5039	esterasas	Esterases	D004950	-
5040	esterificación	Esterification	D004951	-
5041	ésteres	Esters	D004952	Éster|éster
5042	estetrol	Estetrol	D004953	-
5043	éteres	Ethers	D004987	-
5044	éteres cíclicos	Ethers, Cyclic	D004988	-
5045	estética	Esthetics	D004954	-
5046	estética dental	Esthetics, Dental	D004955	Odontología Cosmetica|odontología cosmética
5047	estivación	Estivation	D004956	Aestivación|Letargo del Verano|letargo estival
5048	Estonia	Estonia	D004957	-
5049	estradiol	Estradiol	D004958	(+-)-Isómero de Estradiol|(-)-Isómero de Estradiol|(16 alfa,17 alfa)-Isómero de Estradiol|(16 alfa,17 beta)-Isómero de Estradiol|(17-alfa)-Isómero de Estradiol|(8 alfa,17 beta)-(+-)-Isómero de Estradiol|(8 alfa,17 beta)-Isómero de Estradiol|(9 beta,17 alfa)-Isómero de Estradiol|(9 beta,17 beta)-Isómero de Estradiol|Estrace|Estraderm TTS|Estradiol-17 alfa|Progynon Depot|Progynon-Depot|Sal Monosódico de Estradiol|Sal Sódico de Estradiol|Valerianato de Estradiol|(17 alfa)-isómero de estradiol hemihidratado|17 beta estradiol|17 beta-estradiol|Aerodiol|Delestrogen|Progynova|Vivelle|estradiol 17 alfa|estradiol 17 beta|estradiol 17beta|estradiol anhidro|estradiol hemihidratado|estradiol monohidratado|estradiol-17 beta|estradiol-17beta|valerato de estradiol
5051	estradiol deshidrogenasas	Estradiol Dehydrogenases	D004960	-
5053	estramustina	Estramustine	D004961	estramustinfosfato
5054	estranos	Estranes	D004962	19-norandrostanos
5055	estrenos	Estrenes	D004963	19-norandrostenos
5056	estriol	Estriol	D004964	-
5057	antagonistas de estrógenos	Estrogen Antagonists	D004965	Antagonistas del Estrógeno|antagonistas del estradiol
5059	estrógenos	Estrogens	D004967	Efecto Estrógeno|estrógeno
5060	estrógenos no esteroideos	Estrogens, Non-Steroidal	D004968	estrógenos no esteroides
5061	congéneres del estradiol	Estradiol Congeners	D045166	Congéneres de Estradiol
5062	estrona	Estrone	D004970	-
5064	detección del estro	Estrus Detection	D004972	-
5065	sincronización del estro	Estrus Synchronization	D004973	-
5066	etazolato	Etazolate	D004974	SQ-20009
5067	etacridina	Ethacridine	D004975	-
5068	ácido etacrínico	Ethacrynic Acid	D004976	-
5069	etambutol	Ethambutol	D004977	-
5071	etamoxitrifetol	Ethamoxytriphetol	D004978	-
5072	etamsilato	Ethamsylate	D004979	ciclonamina
5073	etano	Ethane	D004980	-
5074	etanolamina amoníaco-liasa	Ethanolamine Ammonia-Lyase	D004981	Etanolamina Amoniacoliasa|Etanolamina Amoníaco Liasa|etanolamina desaminasa
5075	etanolaminafosfotransferasa	Ethanolaminephosphotransferase	D004982	Etanolaminofosfotransferasa
5076	etanolaminas	Ethanolamines	D004983	aminoetanoles
5077	etclorvinol	Ethchlorvynol	D004984	etilclorovinol|etilclorvinol
5078	trifosfato de etanoadenosina	Ethenoadenosine Triphosphate	D004985	Etenoadenosina Trifosfato
5079	éter	Ether	D004986	Etil Éter|Éter Dietílico|Éter Etílico|Éter de Etilo|éter dietílico|éter etilo|éter etílico
5080	ética	Ethics	D004989	-
5081	ética dental	Ethics, Dental	D004990	Ética Dental|Ética en Odontología|ética en odontología|Ética Odontológica
5082	ética institucional	Ethics, Institutional	D004991	Ética Organizacional|Ética de Hospital|Ética de Institución de Salud|Ética de las Instituciones de Salud|Ética de los Hospitales|Ética en Hospitales|Ética en Instituciones de Salud|Ética en las Instituciones de Salud|Ética en las Organizaciones|Ética en los Hospitales|ética de las organizaciones|ética de organización|ética en los centros sanitarios|ética hospitalaria
5083	ética médica	Ethics, Medical	D004992	-
5084	ética en enfermería	Ethics, Nursing	D004993	Ética de Enfermería
5085	ética en farmacia	Ethics, Pharmacy	D004994	Ética Farmacéutica
5086	ética profesional	Ethics, Professional	D004995	-
5087	etidio	Ethidium	D004996	bromuro de etidio
5089	etinilestradiol	Ethinyl Estradiol	D004997	-
5092	etionamida	Ethionamide	D005000	amidazina|etioniamida
5093	etionina	Ethionine	D005001	-
5094	Etiopía	Ethiopia	D005002	República Democrática Federal de Etiopía|República Democrática Federal de Etiópia
5095	etisterona	Ethisterone	D005003	anhidrohidroxiprogesterona|pregneninolona
5096	hueso etmoides	Ethmoid Bone	D005004	etmoides|lámina cribiforme
5097	senos etmoidales	Ethmoid Sinus	D005005	celdillas etmoidales
5099	etnología	Ethnology	D005007	-
5100	etnopsicología	Ethnopsychology	D005008	-
5101	etoglúcido	Ethoglucid	D005009	-
5102	etología	Ethology	D005010	-
5103	etopabato	Ethopabate	D005011	-
5105	etosuximida	Ethosuximide	D005013	etosuccimida
5107	etoxiquina	Ethoxyquin	D005015	-
5108	etoxzolamida	Ethoxzolamide	D005016	etoxizolamida
5109	biscumacetato de etilo	Ethyl Biscoumacetate	D005017	Etil Biscumacetato|biscumacetato etílico|carbetoxidicumarol|etildicumarol
5110	cloruro de etilo	Ethyl Chloride	D005018	cloroetano
5111	éteres de etilo	Ethyl Ethers	D005019	Compuestos Etóxicos|Éteres Etílicos|compuestos etoxi|Éteres de Etila
5112	metanosulfonato de etilo	Ethyl Methanesulfonate	D005020	Etil Metanosulfonato|Etilmetanosulfonato|etilmetano sulfonato|sulfonato de etilmetano
5113	etilaminas	Ethylamines	D005021	-
5114	etildimetilaminopropil carbodiimida	Ethyldimethylaminopropyl Carbodiimide	D005022	-
5115	etilendiaminas	Ethylenediamines	D005029	Etilendiamina|Etilendiaminas|etilenodiamina|etilenodiaminas
5116	etilenclorhidrina	Ethylene Chlorohydrin	D005023	2-Cloretanol|Etilenoclorhidrina|2-cloroetanol|alcohol 2-cloroetílico
5118	dicloruros de etileno	Ethylene Dichlorides	D005025	dicloroetanos
5119	glicoles de etileno	Ethylene Glycols	D005026	dihidroxietanos|etanodioles
5120	óxido de etileno	Ethylene Oxide	D005027	Epoxietano
5121	etilenobis(ditiocarbamatos)	Ethylenebis(dithiocarbamates)	D005028	-
5122	etilenos	Ethylenes	D005030	-
5123	etilenotiourea	Ethylenethiourea	D005031	Etilentiourea|imidazolidinetiona
5124	etilestrenol	Ethylestrenol	D005032	-
5125	etilmaleimida	Ethylmaleimide	D005033	-
5127	compuestos de etilmercurio	Ethylmercury Compounds	D005035	compuestos de etil mercurio|etilmercuriales
5128	etilmorfina	Ethylmorphine	D005036	etomorfina
5129	etilmorfina-N-desmetilasa	Ethylmorphine-N-Demethylase	D005037	Etilmorfina-N-Demetilasa
5130	etilnitrosourea	Ethylnitrosourea	D005038	nitrosoetilurea
5132	etilefrina	Etilefrine	D005039	etilfenilefrina|etilnorfenilefrina
5136	diacetato de etinodiol	Ethynodiol Diacetate	D005040	-
5137	etidocaína	Etidocaine	D005041	-
5138	etimizol	Etimizol	D005042	Etimisole|etimisol
5139	etiocolanolona	Etiocholanolone	D005043	-
5140	etioporfirinas	Etioporphyrins	D005044	-
5141	etomidato	Etomidate	D005045	-
5143	etopósido	Etoposide	D005047	Glucósido de Dimetil Epipodofilotoxina Etilidina|glucósido de demetil epipodofilotoxina etilidina
5144	etorfina	Etorphine	D005048	M99
5147	Eubacterium	Eubacterium	D005051	Butyribacterium
5148	Eucalyptus	Eucalyptus	D005052	Eucalipto|Eucalyptus globulus|eucalipto azul|eucalipto blanco|eucalipto común|eucalipto glóbulo|eucaliptus
5149	eugenesia	Eugenics	D005053	-
5151	Euglena	Euglena	D005055	-
5152	Euglena gracilis	Euglena gracilis	D005056	-
5153	células eucarióticas	Eukaryotic Cells	D005057	Células Eucarióticas|Células de Eucariontes|Células Eucariotas
5154	eunuquismo	Eunuchism	D005058	-
5156	euforia	Euphoria	D005059	-
5158	Europa (continente)	Europe	D005060	-
5159	Europa Oriental	Europe, Eastern	D005061	-
5160	Unión Europea	European Union	D005062	Comunidad Europea de Carbón y Acero|Comunidad Europea de Energía Atómica|Comunidad Económica Europea|Comunidad Europea|Comunidad Europea del Carbón y del Acero|Comunidad Europea para la Energía Atómica|Euratom|Mercado Común|Mercado Común Europeo
5161	europio	Europium	D005063	-
5162	trompa auditiva	Eustachian Tube	D005064	Tubo Auditivo|trompa de Eustaquio|trompa faringotimpánica|tubo faringotimpánico
5165	eutrofización	Eutrophication	D005068	Floración Algácea|Proliferación de Flora Acuática|Proliferación de Nutrientes|eutroficación|proliferación de algas
5166	estudios de evaluación como asunto	Evaluation Studies as Topic	D005069	Estudios de Evaluación como Tema|Metodología de Evaluación|diagnóstico de la situación|informe de evaluación|métodos de evaluación|técnicas de evaluación
5167	azul de Evans	Evans Blue	D005070	-
5168	potenciales evocados	Evoked Potentials	D005071	Potenciales Relacionados con Acontecimientos|potenciales provocados|potenciales relacionados con eventos
5169	potenciales evocados auditivos	Evoked Potentials, Auditory	D005072	potenciales evocados acústicos|respuesta evocada auditiva
5170	potenciales evocados somatosensitivos	Evoked Potentials, Somatosensory	D005073	potenciales evocados somestésicos|Potenciales Evocados Somatosensoriales
5171	potenciales evocados visuales	Evoked Potentials, Visual	D005074	Respuesta Evocada Visual
5174	evolución biológica	Biological Evolution	D005075	-
5175	exantema	Exanthema	D005076	erupción cutánea|rash cutáneo|salpullido|sarpullido
5176	exantema súbito	Exanthema Subitum	D005077	Roseola Infantil|roséola infantil|sexta enfermedad
5177	excipientes	Excipients	D005079	Agentes Estabilizantes Farmacéuticos|Agentes Suspendedores Farmacéuticos|agentes suspendedores|estabilizantes farmacéuticos
5178	prueba de esfuerzo	Exercise Test	D005080	Batería de Test Eurofit|Baterías de Test Eurofit|Prueba Ergométrica del Brazo|Prueba de Esfuerzo en Cinta sin Fin|Test Ergométrico de Bicicleta|Test Ergométrico del Brazo|Test Europeo de Aptitud Física|Test de Esfuerzo|Test de Estrés|Test del Escalón|batería EuroFit|batería de pruebas EuroFit|batería de tests EuroFit|batería europea de pruebas de valoración de la condición física|baterías de pruebas EuroFit|prueba de estrés|prueba del escalón|prueba en cinta sin fin|prueba ergométrica de bicicleta|prueba ergométrica de brazos|pruebas EuroFit|pruebas de aptitud física|pruebas de capacidad física|test Eurofit
5179	tratamiento por actividad física	Exercise Therapy	D005081	Ejercicio de Rehabilitación|ejercicio terapéutico|ejercicios de rehabilitación|Terapia por Ejercicio
5180	esfuerzo físico	Physical Exertion	D005082	-
5181	exfoliatinas	Exfoliatins	D005083	Dermolisinas|Toxinas Exfoliativas|dermolisisnas|epidermolisinas|toxinas epidermolíticas|toxinas exfoliantes
5183	exhibicionismo	Exhibitionism	D005084	-
5184	exposiciones como asunto	Exhibits as Topic	D005085	Exhibiciones como Asunto|Exhibiciones como Tema|Exposiciones como Tema
5185	existencialismo	Existentialism	D005086	psicología existencial
5187	glándulas exocrinas	Exocrine Glands	D005088	-
5188	exocitosis	Exocytosis	D005089	-
5189	exodesoxirribonucleasas	Exodeoxyribonucleases	D005090	-
5190	exonucleasas	Exonucleases	D005092	-
5193	exorribonucleasas	Exoribonucleases	D005095	-
5196	exotoxinas	Exotoxins	D005098	-
5198	expectorantes	Expectorants	D005100	mucolíticos
5199	expediciones	Expeditions	D005101	Descripción de Viajes
5201	testimonio experto	Expert Testimony	D005104	Demostración de Experto|Opinion de Experto|opinión experta|Testimonio de Experto
5204	conducta exploratoria	Exploratory Behavior	D005106	Conducta de Investigación de Novedad|conducta de búsqueda de la novedad|curiosidad
5205	explosiones	Explosions	D005107	-
5206	extinción psicológica	Extinction, Psychological	D005108	-
5208	matriz extracelular	Extracellular Matrix	D005109	-
5209	espacio extracelular	Extracellular Space	D005110	espacio intercelular|espacio intersticial
5210	herencia extracromosómica	Extrachromosomal Inheritance	D005111	Herencia Citoplasmática|herencia citoplásmica|herencia extranuclear
5211	circulación extracorpórea	Extracorporeal Circulation	D005112	CEC
5212	extracción obstétrica	Extraction, Obstetrical	D005113	-
5213	relaciones extramaritales	Extramarital Relations	D005114	adulterio|relaciones extramatrimoniales
5214	aparatos de tracción extraoral	Extraoral Traction Appliances	D005115	Arco Facial Ortodóncico|Arco Facial Ortodóntico|Casquete Ortodóntico|Mentonera Ortodóncica|Mentonera Ortodóntica|arco facial de ortodoncia|casquete ortodóncico|mentonera de ortodoncia|ortodoncia extraoral
5216	tractos extrapiramidales	Extrapyramidal Tracts	D005116	sistema extrapiramidal|vías extrapiramidales
5217	complejos cardíacos prematuros	Cardiac Complexes, Premature	D005117	complejos prematuros cardíacos|extrasístole|latidos cardíacos ectópicos|latidos prematuros
5218	ambiente extraterrestre	Extraterrestrial Environment	D005118	espacio (astronomía)|Medio Ambiente Extraterrestre
5219	extravasación de materiales terapéuticos y diagnósticos	Extravasation of Diagnostic and Therapeutic Materials	D005119	extravasación de medios de contraste
5221	extraversión (psicología)	Extraversion (Psychology)	D005120	-
5223	extremidades	Extremities	D005121	miembros
5224	exudados y transudados	Exudates and Transudates	D005122	transudados
5225	ojo	Eye	D005123	Ojos
5227	ojo artificial	Eye, Artificial	D005137	prótesis ocular
5228	bancos de ojos	Eye Banks	D005125	-
5231	oftalmopatías	Eye Diseases	D005128	enfermedades oculares
5234	manifestaciones oculares	Eye Manifestations	D005132	-
5235	movimientos oculares	Eye Movements	D005133	movimientos de los ojos
5236	neoplasias del ojo	Eye Neoplasms	D005134	cáncer del ojo|cáncer ocular|neoplasias oculares|tumores del ojo|tumores oculares
5237	dispositivos de protección de los ojos	Eye Protective Devices	D005135	Anteojos de Seguridad|Anteojos para el Sol no Prescritos|dispositivos de protección ocular|gafas de seguridad|gafas de sol no graduadas|gafas protectoras|lentes de seguridad
5238	proteínas del ojo	Eye Proteins	D005136	proteínas oculares
5239	cejas	Eyebrows	D005138	-
5240	gafas	Eyeglasses	D005139	Anteojos para el Sol Prescritos|Espejuelos|Gafas|Gafas para el Sol Prescritos|anteojos|gafas de sol graduadas
5241	pestañas	Eyelashes	D005140	-
5242	enfermedades de los párpados	Eyelid Diseases	D005141	-
5243	neoplasias de los párpados	Eyelid Neoplasms	D005142	Neoplasmas de los Párpados|cáncer de los párpados|neoplasias palpebrales|tumores de los párpados|tumores palpebrales
5244	párpados	Eyelids	D005143	-
5245	factor F	F Factor	D005144	Factor F Sexual|Factor de Propagación de Resistencia|factor de transferencia de resistencia|factor sexual F|factor sexual bacteriano
5246	cara	Face	D005145	-
5247	asimetría facial	Facial Asymmetry	D005146	-
5248	huesos faciales	Facial Bones	D005147	-
5249	dermatosis facial	Facial Dermatoses	D005148	elastoidosis nodular|síndrome de Favre-Racouchot
5250	expresión facial	Facial Expression	D005149	-
5251	hemiatrofia facial	Facial Hemiatrophy	D005150	atrofia hemifacial|enfermedad de Romberg
5252	traumatismos faciales	Facial Injuries	D005151	lesiones faciales
5253	músculos faciales	Facial Muscles	D005152	Mimetismo Facial|Musculos Miméticos|músculos miméticos
5255	nervio facial	Facial Nerve	D005154	Nervio Craneal VII|Nervio Intermediario de Wrisberg|Septimo Nervio Craneal|VII nervio craneal|VII par craneal|nervio de Wrisberg|nervio intermediario|nervio intermedio de Wrisberg|séptimo nervio craneal|séptimo par craneal
5256	enfermedades del nervio facial	Facial Nerve Diseases	D005155	Enfermedades Craneales del VII Nervio|enfermedades del VII nervio craneal|enfermedades del VII par craneal|ganglionitis geniculada|miocimia facial|neuropatía facial|neuropatía facial adquirida
5257	neuralgia facial	Facial Neuralgia	D005156	neuralgia esfenopalatina|síndromes de dolor facial
5258	parálisis facial	Facial Paralysis	D005158	parálisis hemifacial
5259	instalaciones, servicios y personal de asistencia sanitaria	Health Care Facilities, Manpower, and Services	D005159	instalaciones sanitarias, personal y servicios sanitarios|Instalaciones para Atención de Salud, Recursos Humanos y Servicios
5260	diseño y construcción de instalaciones	Facility Design and Construction	D005160	Construcción de Instituciones de Salud|Diseño y Construcción de Instituciones de Salud|construcción de instalaciones|Arquitectura y Construcción de Instituciones de Salud
5261	regulación y control de instalaciones	Facility Regulation and Control	D005161	-
5262	trastornos ficticios	Factitious Disorders	D005162	Seudodemencia|Seudopsicosis|Trastornos Autoinducidos|pseudodemencia|pseudopsicosis|síndrome de Ganser|trastornos fingidos
5266	deficiencia del factor V	Factor V Deficiency	D005166	Deficiencia del Factor Cinco|deficiencia de factor 5|déficit de factor cinco|déficit del factor V|enfermedad de Owren|parahemofilia
5268	deficiciencia del factor VII	Factor VII Deficiency	D005168	Deficiencia del Factor 7|Deficiencia del Factor Siete|deficiencia de factor 7|déficit de factor 7|déficit del factor VII|hipoproconvertinemia|Deficiencia del Factor VII
5271	deficiencia del factor X	Factor X Deficiency	D005171	Deficiencia del Factor 10|Deficiencia del Factor Diez|déficit de factor diez|déficit del factor 10|déficit del factor X
5273	deficiencia del factor XI	Factor XI Deficiency	D005173	Deficiencia del Factor 11|Deficiencia del Factor Once|deficiencia de factor once|déficit de factor 11|déficit de factor once|hemofilia C|síndrome de Rosenthal
5275	deficiencia del factor XII	Factor XII Deficiency	D005175	Deficiencia de Factor 12|Deficiencia de Factor Doce|deficiencia de Factor XII|deficiencia del factor 12|deficiencia del factor doce|déficit de factor 12|déficit de factor XII|déficit de factor doce|déficit del factor 12|déficit del factor XII|déficit del factor doce|rasgo de Hageman
5277	deficiencia del factor XIII	Factor XIII Deficiency	D005177	Deficiencia del Factor 13|Deficiencia del Factor Trece|déficit de factor 13|déficit de factor trece|déficit del factor XIII
5278	profesorado	Faculty	D005178	Docente|Educador|Educadores|Profesor|Profesora|Profesores|cuerpo de profesores|cuerpo docente|profesor universitario|profesores docentes|profesores universitarios|Docentes
5279	profesorado de odontología	Faculty, Dental	D005179	Docente de Odontología|cuerpo docente de odontología|docentes de odontología
5280	profesorado de medicina	Faculty, Medical	D005180	Docente Médico|cuerpo docente de medicina|docentes de medicina|Docentes Médicos
5281	profesorado de enfermería	Faculty, Nursing	D005181	Docente de Enfermería|cuerpo docente de enfermería|docentes de enfermería
5283	flavina-adenina dinucleótido	Flavin-Adenine Dinucleotide	D005182	Dinucleótido Flavina-Adenina|Flavín-Adenín Dinucleótido|FAD|dinucleótido de flavina y adenina|dinucleótido de flavina-adenina
5284	insuficiencia de crecimiento	Failure to Thrive	D005183	Retardo Físico|Retardo del Crecimiento|insuficiencia ponderal|retardo en el desarrollo físico|retraso del desarrollo|retraso estaturoponderal|retraso ponderal
5285	enfermedades de las trompas de Falopio	Fallopian Tube Diseases	D005184	Enfermedades de las Trompas de Falopio|enfermedades de la trompas uterinas|Enfermedades de las Trompas Uterinas
5286	neoplasias de las trompas de Falopio	Fallopian Tube Neoplasms	D005185	Neoplasias de las Trompas de Falopio|neoplasias de las trompas uterinas|tumores de las trompas uterinas
5287	pruebas de permeabilidad de las trompas de Falopio	Fallopian Tube Patency Tests	D005186	Tests de Obstrucción de las Trompas de Falopio|pruebas de obstrucción de las trompas de Falopio|Pruebas de Obstrucción de las Trompas Uterinas
5288	trompas uterinas	Fallopian Tubes	D005187	Trompas Uterinas (Falloppii)|oviductos mamíferos|trompa uterina|trompas de Fallopio|trompas de Falopio
5289	resultados falsos negativos	False Negative Reactions	D005188	Resultados Falso Negativos|Reacciones Falso Negativas
5290	resultados falsos positivos	False Positive Reactions	D005189	Falso Positivo|Resultados Falso Positivos|Reacciones Falso Positivas
5297	servicios de planificación familiar	Family Planning Services	D005193	programas de planificación familiar
5298	medicina de familia	Family Practice	D005194	Medicina Familiar|Medicina de Familia|Medicina Familiar y Comunitaria
5299	relaciones familiares	Family Relations	D005195	Relación de Familia|dinámica familiar|parentesco|relación familiar
5300	terapia familiar	Family Therapy	D005196	-
5301	personas famosas	Famous Persons	D005197	Personas Famosas|Personajes
5302	síndrome de Fanconi	Fanconi Syndrome	D005198	disfunción tubular renal proximal|síndrome de Fanconi renal|síndrome de Lignac-Fanconi|síndrome de Toni-Debre-Fanconi|síndrome renal de Fanconi
5303	anemia de Fanconi	Fanconi Anemia	D005199	-
5304	FANFT	FANFT	D005200	-
5305	fantasía	Fantasy	D005201	soñar despierto
5306	Extremo Oriente	Far East	D005202	Extremo Oriente|Sudeste Asiático|Sureste Asiático|Asia Oriental|Lejano Oriente
5307	pulmón del granjero	Farmer's Lung	D005203	Enfermedad del Heno Mohoso|pulmón del cultivador de setas|Pulmón de Granjero
5308	farnesol	Farnesol	D005204	-
5309	fascia	Fascia	D005205	-
5310	fascia lata	Fascia Lata	D005206	-
5311	fasciculación	Fasciculation	D005207	fasciculaciones
5312	fascitis	Fasciitis	D005208	Fasciitis
5313	Fasciola	Fasciola	D005209	-
5314	Fasciola hepatica	Fasciola hepatica	D005210	duela del hígado|duela hepática
5315	fascioliasis	Fascioliasis	D005211	infección por Fasciola
5316	Fasciolidae	Fasciolidae	D005212	Fascioloides|Fasciolopsis
5317	fascioloidiasis	Fascioloidiasis	D005213	-
5318	neutrones rápidos	Fast Neutrons	D005214	-
5321	emulsiones grasas intravenosas	Fat Emulsions, Intravenous	D005217	Emulsiones Lipídicas Intravenosas|emulsiones lípidas intravenosas
5322	necrosis grasa	Fat Necrosis	D005218	esteatonecrosis
